Title,Description,Link
Hope after defeat - Newspaper - DAWN.COM,"ON Saturday, having fallen behind Japan in the first quarter of the Sultan Azlan Shah Cup final, Pakistan showed...",https://www.dawn.com/news/1832984/hope-after-defeat
BBC Travel | Adventures,BBC Travel brings you the latest Adventure Travel coverage from around the world,https://www.bbc.com//travel/adventures
Latin America | Latest News & Updates | BBC News,"Get all the latest news, live updates and content about Latin America from across the BBC.",https://www.bbc.com//news/world/latin_america
"Australia tries to stop a violence against women 'epidemic', starting with schools","As the nation reels from the Bondi Junction stabbings, what can be done to shift behaviour?",https://www.bbc.com//news/world-australia-68989354
Home - DAWN.COM,,https://www.dawn.com
What to expect from Michael Cohen at Trump's hush-money trial,"The BBC's Nada Tawfik looks ahead to Monday, when Donald Trump's former lawyer witll take the stand.",https://www.bbc.com//news/world-us-canada-68987628
Alok Shukla wins prize for Hasdeo Aranya forest campaign,Alok Shukla has spent years fighting to protect a key Indian forest from mining companies.,https://www.bbc.com//news/articles/cyxepvdewkno
Novak Djokovic out of Italian open after defeat by Alejandro Tabilo - BBC Sport,World number one Novak Djokovic is out of the Italian Open after losing to Chile's Alejandro Tabilo in straight sets.,https://www.bbc.com//sport/tennis/articles/c51n4jej3g7o
Wales | Latest News & Updates | BBC News,"Get all the latest news, live updates and content about Wales from across the BBC.",https://www.bbc.com//news/wales
Editorial -Opinion - DAWN.COM,,https://www.dawn.com//newspaper/editorial
News stories for PYT - DAWN.COM,,https://www.dawn.com/authors/1734/pyt
How can I change my BBC cookie settings?,,https://www.bbc.com/usingthebbc/cookies/how-can-i-change-my-bbc-cookie-settings/
"No such thing as strategic state-owned enterprises, says Finance Minister Aurangzeb - Business - DAWN.COM","Says longer, larger IMF programme needed to bring ""permanence in macroeconomic stability and structural reforms"".",https://www.dawn.com/news/1833050/no-such-thing-as-strategic-state-owned-enterprises-says-finance-minister-aurangzeb
Technology of Business | Latest News & Updates | BBC News,"Get all the latest news, live updates and content about Technology of Business from across the BBC.",https://www.bbc.com//business/technology-of-business
US & Canada | Latest News & Updates | BBC News,"Get all the latest news, live updates and content about the US & Canada from across the BBC.",https://www.bbc.com//news/us-canada
News stories for Iftikhar A. Khan - DAWN.COM,,https://www.dawn.com/authors/262/iftikhar-a-khan
Ros Atkins on... How different countries protect children online,BBC Analysis editor Ros Atkins looks at what what is being done to prevent minors seeing harmful content.,https://www.bbc.com//news/technology-68994263
Test-at-home kit for cancer patients approved for use,Patients say the device allows them to reduce the number of hospital visits involved in cancer care.,https://www.bbc.com//news/technology-68972855
To draw or not to draw - Magazines - DAWN.COM,"Let's find out what Din Din, Delma and Dazel are up to this week.",https://www.dawn.com/news/1833048/to-draw-or-not-to-draw
News stories for Oliver Bown - DAWN.COM,,https://www.dawn.com/authors/11037/oliver-bown
BBC Travel | Destinations | South America,BBC Travel brings you the latest articles and guides to South America,https://www.bbc.com//travel/destinations/south-america
Live Updates: Elections 2024 - DAWN.COM,Live Updates: Elections 2024,https://www.dawn.com//live/elections-2024#1822561
BBC Innovation | Technology,BBC Innovation brings you the latest in Technology news and coverage from around the world,https://www.bbc.com//innovation/technology
BBC Verify | Latest News & Updates | BBC News,"Get all the latest news, live updates and content about BBC Verify from across the BBC.",https://www.bbc.com//news/reality_check
China is still harassing dissidents who fled in the 1990s,"Yan Xiong escaped from China in 1992, but he and other dissidents are still being targeted by Beijing.",https://www.bbc.com//news/articles/crgy7xypwj8o
Politics | Latest News & Updates | BBC News,"Get all the latest news, live updates and content about Politics from across the BBC.",https://www.bbc.com//news/politics
Canada arrests fourth Indian national in killing of Sikh activist - World - DAWN.COM,The Indian national was already being held for unrelated gun charges.,https://www.dawn.com/news/1833042/canada-arrests-fourth-indian-national-in-killing-of-sikh-activist
Street safety - Newspaper - DAWN.COM,Traditional policing methods may result in faulty investigations.,https://www.dawn.com/news/1832830/street-safety
How crops are being disaster-proofed,Scientists are creating hardier crops by cross-breeding wild varities and tweaking crop genes.,https://www.bbc.com//news/articles/c99z7wwq1lgo
News stories for Uzair M. Younus - DAWN.COM,,https://www.dawn.com/authors/5119/uzair-m-younus
The photographer capturing 'stranger portraits',"Mitchel Lucas' videos of ""strangers"" in Bristol has proven a hit on TikTok.",https://www.bbc.com//news/articles/cv2j18le9e3o
BBC Weather - Home,"Latest weather conditions and forecasts for the UK and the world. Includes up to 14-days of hourly forecast information, warnings, maps, and the latest editorial analysis and videos from the BBC Weather Centre.",https://www.bbc.com/weather
Popular - DAWN.COM,,https://www.dawn.com//popular
Live Updates: Elections 2024 - DAWN.COM,Live Updates: Elections 2024,https://www.dawn.com//live/elections-2024#1822564
BBC Earth | Weather & Science,BBC Earth brings you the latest Weather and Science solutions coverage from around the world,https://www.bbc.com//future-planet/weather-science
Home - Aurora,,https://aurora.dawn.com
Why Are Israel And Its Western Allies On The Edge Over ICC Arrest Warrants? | Dawn News English - YouTube,"In the Palestinian territory it controls, Israel has often been accused of acting without consequence, backed by support from the United States and the broad...",https://www.youtube.com/watch?v=368pk1LtbvY
World - DAWN.COM,,https://www.dawn.com//world
How Kendrick Lamar and Drake changed rap beefs forever,Rapid-fire releases and fast pace of modern life elevate diss war to levels unparalleled in hip-hop history.,https://www.bbc.com//news/world-us-canada-68993672
Tunisia lawyer Sonia Dahmani arrested during live broadcast,There has been growing criticism on the restrictions on free speech under President Kais Saied.,https://www.bbc.com//news/articles/c4n1jwel080o
The Agrarian Thespian - People - Aurora,Shahrezad Samiuddin profiles farmer and actor Samiya Mumtaz.,https://aurora.dawn.com/news/1145109/the-agrarian-thespian
Marketing - DAWN.COM - DAWN.COM,,https://www.dawn.com/advertise
STYLE; ALL ABOUT MY MOTHER - Newspaper - DAWN.COM,"Their mutual passion for design binds Farah Talib Aziz and Maliha Aziz together, as does their love for each other.",https://www.dawn.com/news/1832575/style-all-about-my-mother
Who can rock the hybrid boat? - Pakistan - DAWN.COM,"If the chief was able to weather that storm then, he appears far more secure now.",https://www.dawn.com/news/1832983/who-can-rock-the-hybrid-boat
Packaging film sector on the rise - Business - DAWN.COM,"""Total local market size is Rs80-100bn, and we expect an annual growth of 7-8pc in flexible packaging films by food companies,"" IPAK CEO says.",https://www.dawn.com/news/1831798/packaging-film-sector-on-the-rise
From screens to streets: How Gen Z is disrupting the status quo and redefining activism - Prism - DAWN.COM,It's safe to say that the kids are doing just fine. It is the adults running the world that are the problem.,https://www.dawn.com/news/1829562/from-screens-to-streets-how-gen-z-is-disrupting-the-status-quo-and-redefining-activism
Dawn Relief for Floods - DAWN.COM,,https://www.dawnrelief.com/
News stories for Siham Basir - DAWN.COM,,https://www.dawn.com/authors/9236/siham-basir
Dawn Classifieds,,https://classifieds.dawn.com
Pakistan remain unbeaten in Azlan Shah Cup as match with New Zealand ends in tie - Sport - DAWN.COM,Will face leading Japan in the final at 5:30pm tomorrow; Information Minister Attaullah Tarar says team's achievements will be highlighted across all media.,https://www.dawn.com/news/1832670/pakistan-remain-unbeaten-in-azlan-shah-cup-as-match-with-new-zealand-ends-in-tie
A visit to one of Antarctica's stunning penguin colonies,Marc Cieslak finds out how gentoo penguins are adapting to a warming climate.,https://www.bbc.com//reel/video/p0hwrqms/a-visit-to-one-of-antarctica-s-stunning-penguin-colonies
Arvind Kejriwal: India court grants bail to Delhi leader,The Delhi chief minister was arrested in March in a corruption case - he denies the allegations.,https://www.bbc.com//news/world-asia-india-68767574
Israel orders Palestinians to evacuate from more areas of Rafah - World - DAWN.COM,Egypt refuses to coordinate with Israel on entry of aid from Rafah; 37 Palestinians killed in overnight strikes across Gaza Strip.,https://www.dawn.com/news/1832947/israel-orders-palestinians-to-evacuate-from-more-areas-of-rafah
The Essential List,,https://cloud.email.bbc.com/SignUp10_08?&at_bbc_team=studios&at_medium=display&at_objective=acquisition&at_ptr_type=&at_ptr_name=bbc.comhp&at_format=Module&at_link_origin=homepage&at_campaign=essentiallist&at_campaign_type=owned
BBC Travel | Destinations | Caribbean & Bermuda,BBC Travel brings you the latest articles and guides to the Caribbean & Bermuda,https://www.bbc.com//travel/destinations/caribbean
"BBC Business | Economy, Tech, AI, Work, Personal Finance, Market news","BBC Business brings you the latest in Business news and coverage from around the world, including tech, personal finance, companies, employment, the economy and more",https://www.bbc.com//business
Live Updates: Elections 2024 - DAWN.COM,Live Updates: Elections 2024,https://www.dawn.com//live/elections-2024#1822566
India Election 2024 | Lok Sabha Election latest news| BBC News,,https://www.bbc.com//news/topics/ce483qevngqt
BBC Culture | Film & TV,BBC Culture brings you the latest film & TV news and coverage from around the world,https://www.bbc.com//culture/film-tv
Weather - DAWN.COM - DAWN.COM,,https://www.dawn.com//weather
2024 Zambia-China Culture and Tourism Year kicks off in Beijing - Chinadaily.com.cn,,https://www.chinadaily.com.cn/a/202405/11/WS663f2b3ba31082fc043c6995.html
England | Latest News & Updates | BBC News,"Get all the latest news, live updates and content about England from across the BBC.",https://www.bbc.com//news/england
Home - Images,,https://www.dawn.com//entertainment
Djokovic bottle strike overshadows Rome Open cruise past Moutet - Sport - DAWN.COM,World number one Djokovic was left crouched on ground in agony as the bottle hit him as he was signing autographs.,https://www.dawn.com/news/1832945/djokovic-bottle-strike-overshadows-rome-open-cruise-past-moutet
Europe | Latest News & Updates | BBC News,"Get all the latest news, live updates and content about Europe from across the BBC.",https://www.bbc.com//news/world/europe
Watch Live TV - Dawnnews,,https://www.dawnnews.tv/watch-live
EOS -Magazines - DAWN.COM,,https://www.dawn.com//magazines/eos
Accessibility - BBC,,https://www.bbc.co.uk/accessibility/
Celebrity chef Alexandre Mazzia's favourite ways to enjoy Marseille during the Olympics and beyond,"Michelin-starred chef Alexandre Mazzia will be a torchbearer when the Paris 2024 Olympics kick off in his hometown of Marseille. Here is his guide to the city, from sunsets to seafood.",https://www.bbc.com//travel/article/20240508-celebrity-chef-alexandre-mazzias-favourite-ways-to-enjoy-marseille-during-the-olympics-and-beyond
BBC Culture | Music,BBC Culture brings you the latest music news and coverage from around the world,https://www.bbc.com//culture/music
Code of Ethics - DAWN.COM - DAWN.COM,,https://www.dawn.com//code-of-ethics
Scotland | Latest News & Updates | BBC News,"Get all the latest news, live updates and content about the Scotland from across the BBC.",https://www.bbc.com//news/scotland
Israel Gaza war: More Rafah evacuations as Israel steps up operations,The Israeli military tells thousands of Palestinians to leave the city as it expands its military operation.,https://www.bbc.com//news/articles/cer3mr09vzxo
Home - Dawnnews,,https://www.dawnnews.tv
"BBC Culture | Arts, Film & TV, Reviews, Books, Music, Style","BBC Culture brings you the latest in Arts and Culture news and coverage from around the world, including film and TV reviews, books, art, music, style and more",https://www.bbc.com//culture
Ukraine War | Latest News & Updates| BBC News,"Follow the latest news about the Russia Ukraine war. Find reports from the ground, verified videos, maps and expert analysis by BBC correspondents across the world.",https://www.bbc.com//news/war-in-ukraine
"BBC Sport - Scores, Fixtures, News - Live Sport","Sports news and live sports coverage including scores, results, video, audio and analysis on Football, F1, Cricket, Rugby Union and all other UK sports.",https://www.bbc.com//sport
In pictures: Top moments from Eurovision Song Contest 2024,"Skimpy costumes, wacky performances and furious flag-waving... it can only be Eurovision.",https://www.bbc.com//news/articles/cv2dy69jm6no
News stories for Khurram Husain - DAWN.COM,,https://www.dawn.com/authors/675/khurram-husain
Home - Dawnnews,,https://www.dawnnews.tv/
Home - DAWN Education Expo,,https://educationexpo.dawn.com
Thunderstorm weather warnings follow hottest day of the year,"If you like the sunshine enjoy it while you can, as rain and storms are set to return.",https://www.bbc.com//news/articles/cll451q4l55o
News stories for Zahoor - DAWN.COM,,https://www.dawn.com/authors/1521/zahoor
In pictures: Northern Lights dazzle around the world,"The aurora borealis was visible around the world on Friday night, stunning photographers everywhere.",https://www.bbc.com//news/in-pictures-68995685
Jarlath Burns: No changes to football championship during my term - GAA president - BBC Sport,GAA president Jarlath Burns says he will not be tinkering with the football championship structure during his three-year term.,https://www.bbc.com//sport/articles/c2e0jgl1me9o
The Dual Glass Ceiling - Blogs - Aurora,Overcoming gender and parental biases in tech and marketing.,https://aurora.dawn.com/news/1145113
Watch: Northern Lights captured glowing over Europe,"Time-lapse videos show swirls of green, pink and scarlet moving across and lighting up the night sky.",https://www.bbc.com//news/uk-68994265
Echoes of love - Newspaper - DAWN.COM,"Ever wonder why some guys are just great with everyone? It all starts at home! Exactly, mothers and sons share a...",https://www.dawn.com/news/1832758/echoes-of-love
Red squirrels: Island fights back invasion by their grey cousins,A conservationist is on a mission to keep a Welsh island a sanctuary for native red squirrels.,https://www.bbc.com//news/videos/cnl4nrl5qlro
Scotland Politics | Latest News & Updates | BBC News,"Get all the latest news, live updates and content about Scotland Politics from across the BBC.",https://www.bbc.com//news/scotland/scotland_politics
News stories for Aizaz Ahmad Chaudhry - DAWN.COM,,https://www.dawn.com/authors/9600/aizaz-ahmad-chaudhry
Russia blames Ukraine as Belgorod apartments collapse after blast,At least two people are said to have been killed after a section of a 10-storey block collapsed in Belgorod.,https://www.bbc.com//news/world-europe-68998913
Home - BBC News,"Visit BBC News for up-to-the-minute news, breaking news, video, audio and feature stories. BBC News provides trusted World and UK news as well as local and regional perspectives. Also entertainment, business, science, technology and health news.",https://www.bbc.com//news
News stories for Faisal Bari - DAWN.COM,,https://www.dawn.com/authors/568/faisal-bari
UAE hits out at Netanyahu for saying it may help run Gaza - World - DAWN.COM,"UAE refuses to be drawn into any plan aimed at providing cover for Israeli presence in Gaza, foreign minister says.",https://www.dawn.com/news/1832948/uae-hits-out-at-netanyahu-for-saying-it-may-help-run-gaza
Women's FA Cup final: Ella Toone opens the scoring with screamer - BBC Sport,Watch as Ella Toone scores a screamer to put Manchester United into the lead against Tottenham Hotspur in the Women's FA Cup final at Wembley.,https://www.bbc.com//sport/videos/c03drxzgr46o
Events - DAWN.COM - DAWN.COM,,https://www.dawn.com/events/supplements
Sponsor Content - DAWN.COM - DAWN.COM,,https://www.dawn.com/sponsor-content
Pakistan - DAWN.COM,,https://www.dawn.com//pakistan
BBC Culture | Style,BBC Culture brings you the latest style news and coverage from around the world,https://www.bbc.com//culture/style
Reproduction Copyrights - DAWN.COM - DAWN.COM,,https://www.dawn.com//reproduction-copyrights
Australia | Latest News & Updates | BBC News,"Get all the latest news, live updates and content about Australia from across the BBC.",https://www.bbc.com//news/world/australia
Malaysia football: Mystery attacks on players overshadow season start,"Three members of the national team suffer separate assaults, leaving police and fans baffled.",https://www.bbc.com//news/world-asia-68994876
BBC Live & Breaking World and U.S. Sport News,Live Sport journalism from around the world,https://www.bbc.com//live/sport
Northern Ireland | Latest News & Updates | BBC News,"Get all the latest news, live updates and content about Northern Ireland from across the BBC.",https://www.bbc.com//news/northern_ireland
THE GRAPEVINE - Newspaper - DAWN.COM,Indian playback singer Arijit Singh recently did a concert in Dubai. The venue was bursting at the seams,https://www.dawn.com/news/1832574/the-grapevine
"Fight till the last ball, PCB chief tells cricket team in Dublin - Sport - DAWN.COM",Says T20 cricket needs unique and aggressive approach.,https://www.dawn.com/news/1833052/fight-till-the-last-ball-pcb-chief-tells-cricket-team-in-dublin
BBC Innovation | Science & Health,BBC Innovation brings you the latest in Science and health news and coverage from around the world,https://www.bbc.com//innovation/science
Contact Home | Contact the BBC,,https://www.bbc.co.uk/contact
Northern Ireland Politics | Latest News & Updates | BBC News,"Get all the latest news, live updates and content about Northern Ireland Politics from across the BBC.",https://www.bbc.com//news/northern_ireland/northern_ireland_politics
Afghanistan: Hundreds feared dead in Baghlan and Takhar flooding,"More than 100 people are injured, according to officials, as torrents of water sweep through entire villages.",https://www.bbc.com//news/articles/c4n1wze72kdo
News stories for Muna Khan - DAWN.COM,,https://www.dawn.com/authors/1320/muna-khan
Business - DAWN.COM,,https://www.dawn.com//business
Incentivising Agri-Financing - Aurora,"Data and digitisation are creating conditions conducive to agricultural financing, writes Ammar H. Khan.",https://aurora.dawn.com/news/1145073/incentivising-agri-financing
"BBC Home - Breaking News, World News, US News, Sports, Business, Innovation, Climate, Culture, Travel, Video & Audio","Visit BBC for trusted reporting on the latest world and US news, sports, business, climate, innovation, culture and much more.",https://www.bbc.com/
Russian apartment block collapses explosion,"At least 17 people have been injured in Russia's city of Belgorod, near the border with Ukraine.",https://www.bbc.com//news/world-europe-68998812
